project_cd,if_vrsn_id,plant_cd,res_cd,res_nm,res_seq,res_type_cd,res_ctgi_cd,res_grp_cd,res_capa_val,over_capa_val,capa_unit_cd,start_yymmdd,end_yymmdd,descr,inf_capa_yn,use_yn,del_yn
ENT_001,-,K120,10003981_M003,10003981_M003,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003981_M004,10003981_M004,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003981_M005,10003981_M005,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003981_M006,10003981_M006,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003981_M007,10003981_M007,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003981_M008,10003981_M008,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003981_M009,10003981_M009,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003981_M010,10003981_M010,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_F001,10007202_F001,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_F002,10007202_F002,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_F003,10007202_F003,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_F004,10007202_F004,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_F005,10007202_F005,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_F006,10007202_F006,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_F007,10007202_F007,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_F008,10007202_F008,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_F009,10007202_F009,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_F010,10007202_F010,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_M001,10007202_M001,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_M002,10007202_M002,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_M003,10007202_M003,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_M004,10007202_M004,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_M005,10007202_M005,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_M006,10007202_M006,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_M007,10007202_M007,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_M008,10007202_M008,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_M009,10007202_M009,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10007202_M010,10007202_M010,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
